GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
35,NOP,20191022,Jrue Holiday,41.083333333333336,6,15,40.0,1,6,16.7,0,2,0.0,2,2,4,6,5,0,2,2,13,-14,0
35,NOP,20191022,Brandon Ingram,35.1,8,19,42.1,2,5,40.0,4,4,100,0,5,5,5,2,1,2,4,22,-19,0
35,NOP,20191022,Derrick Favors,20.75,3,6,50.0,0,0,0.0,0,0,0.0,1,6,7,2,1,0,1,5,6,-12,0
35,NOP,20191022,JJ Redick,27.033333333333335,6,9,66.7,4,6,66.7,0,0,0.0,0,2,2,1,3,0,0,3,16,-14,0
35,NOP,20191022,Lonzo Ball,24.833333333333332,2,7,28.6,2,3,66.7,2,2,100,0,5,5,5,1,0,0,2,8,-7,0
35,NOP,20191022,Josh Hart,28.166666666666668,4,9,44.4,3,5,60.0,4,4,100,4,6,10,1,1,0,1,4,15,-1,0
35,NOP,20191022,Jahlil Okafor,12.483333333333333,3,3,100,0,0,0.0,2,3,66.7,2,0,2,0,1,0,1,3,8,-7,0
35,NOP,20191022,E'Twaun Moore,12.1,2,7,28.6,1,3,33.3,0,0,0.0,1,2,3,2,0,0,0,0,5,-1,0
35,NOP,20191022,Nickeil Alexander-Walker,11.916666666666666,1,10,10.0,1,7,14.3,0,0,0.0,1,3,4,2,1,2,0,2,3,6,0
35,NOP,20191022,Kenrich Williams,18.05,0,4,0.0,0,2,0.0,3,3,100,3,3,6,3,1,1,2,5,3,11,0
35,NOP,20191022,Nicolo Melli,19.616666666666667,5,7,71.4,4,5,80.0,0,0,0.0,2,3,5,2,2,0,0,1,14,11,0
35,NOP,20191022,Frank Jackson,13.866666666666667,3,6,50.0,1,3,33.3,2,2,100,0,0,0,1,1,0,0,3,9,7,0
35,TOR,20191022,OG Anunoby,35.81666666666667,5,12,41.7,1,4,25.0,0,1,0.0,3,4,7,0,1,0,2,3,11,12,0
35,TOR,20191022,Pascal Siakam,38.13333333333333,11,26,42.3,2,5,40.0,10,11,90.9,6,12,18,5,4,0,1,6,34,5,0
35,TOR,20191022,Marc Gasol,31.916666666666668,2,9,22.2,1,4,25.0,1,1,100,1,3,4,1,0,0,0,5,6,-2,0
35,TOR,20191022,Kyle Lowry,45.0,4,15,26.7,3,11,27.3,11,13,84.6,1,4,5,6,4,2,0,4,22,-1,0
35,TOR,20191022,Fred VanVleet,44.333333333333336,12,18,66.7,5,7,71.4,5,6,83.3,0,5,5,7,2,2,0,0,34,18,0
35,TOR,20191022,Serge Ibaka,26.0,4,10,40.0,0,1,0.0,5,6,83.3,2,3,5,0,3,1,0,2,13,6,0
35,TOR,20191022,Norman Powell,28.65,2,7,28.6,1,5,20.0,0,0,0.0,1,7,8,2,2,0,0,2,5,2,0
35,TOR,20191022,Terence Davis,15.166666666666666,2,6,33.3,1,3,33.3,0,0,0.0,2,3,5,2,0,2,0,2,5,0,0
36,LAL,20191022,Anthony Davis,37.35,8,21,38.1,0,2,0.0,9,14,64.3,3,6,9,5,3,1,2,3,25,3,0
36,LAL,20191022,LeBron James,36.0,7,19,36.8,1,5,20.0,3,4,75.0,1,9,10,8,5,1,1,3,18,-8,0
36,LAL,20191022,JaVale McGee,17.35,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,0,1,0,2,0,4,0,0
36,LAL,20191022,Danny Green,32.31666666666667,10,14,71.4,7,9,77.8,1,1,100,1,6,7,0,0,2,1,3,28,7,0
36,LAL,20191022,Avery Bradley,24.033333333333335,3,7,42.9,2,5,40.0,0,0,0.0,0,3,3,0,2,0,0,3,8,-1,0
36,LAL,20191022,Kentavious Caldwell-Pope,27.4,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,3,1,0,0,5,0,-8,0
36,LAL,20191022,Dwight Howard,19.033333333333335,1,3,33.3,0,0,0.0,1,1,100,3,3,6,1,0,0,1,4,3,-1,0
36,LAL,20191022,Troy Daniels,16.233333333333334,2,6,33.3,1,5,20.0,1,1,100,0,0,0,1,1,0,0,1,6,-13,0
36,LAL,20191022,Quinn Cook,16.933333333333334,2,7,28.6,0,3,0.0,0,0,0.0,0,1,1,2,1,0,0,0,4,-9,0
36,LAL,20191022,Jared Dudley,13.35,2,2,100,2,2,100,0,0,0.0,0,0,0,0,0,0,0,2,6,-20,0
36,LAC,20191022,Kawhi Leonard,31.55,10,19,52.6,1,5,20.0,9,10,90.0,1,5,6,5,6,2,1,5,30,5,0
36,LAC,20191022,Patrick Patterson,17.483333333333334,1,3,33.3,1,3,33.3,1,2,50.0,1,2,3,0,0,0,0,2,4,-2,0
36,LAC,20191022,Ivica Zubac,9.633333333333333,4,4,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,8,-5,0
36,LAC,20191022,Landry Shamet,26.45,3,8,37.5,2,4,50.0,0,0,0.0,0,3,3,2,0,0,0,1,8,-1,0
36,LAC,20191022,Patrick Beverley,31.35,1,7,14.3,0,5,0.0,0,0,0.0,2,8,10,6,2,0,1,4,2,13,0
36,LAC,20191022,Montrezl Harrell,38.36666666666667,7,11,63.6,0,0,0.0,3,8,37.5,2,5,7,4,3,1,1,3,17,15,0
36,LAC,20191022,Lou Williams,36.71666666666667,8,14,57.1,1,4,25.0,4,4,100,1,4,5,7,2,1,0,0,21,13,0
36,LAC,20191022,JaMychal Green,19.283333333333335,4,8,50.0,4,7,57.1,0,0,0.0,1,5,6,0,1,0,0,3,12,5,0
36,LAC,20191022,Maurice Harkless,29.166666666666668,4,7,57.1,2,3,66.7,0,0,0.0,2,2,4,0,0,4,2,5,10,7,0
37,CHI,20191023,Otto Porter Jr.,27.716666666666665,3,10,30.0,1,5,20.0,2,2,100,0,2,2,1,0,2,1,2,9,14,0
37,CHI,20191023,Lauri Markkanen,34.36666666666667,13,25,52.0,1,7,14.3,8,10,80.0,5,12,17,2,1,1,0,1,35,-8,0
37,CHI,20191023,Wendell Carter Jr.,29.4,5,11,45.5,0,0,0.0,2,2,100,5,4,9,0,1,0,1,4,12,2,0
37,CHI,20191023,Zach LaVine,30.0,7,17,41.2,1,4,25.0,1,1,100,3,3,6,7,5,2,1,3,16,-8,0
37,CHI,20191023,Tomas Satoransky,24.366666666666667,1,5,20.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,2,2,4,0
37,CHI,20191023,Luke Kornet,6.833333333333333,0,3,0.0,0,1,0.0,0,0,0.0,2,2,4,0,1,0,0,1,0,-8,0
37,CHI,20191023,Coby White,27.15,6,13,46.2,1,4,25.0,4,5,80.0,0,3,3,7,1,0,0,2,17,6,0
37,CHI,20191023,Thaddeus Young,25.4,7,11,63.6,3,5,60.0,0,0,0.0,1,2,3,2,1,1,0,1,17,12,0
37,CHI,20191023,Kris Dunn,23.85,5,7,71.4,0,2,0.0,1,2,50.0,1,1,2,2,0,4,0,3,11,-8,0
37,CHI,20191023,Ryan Arcidiacono,10.933333333333334,2,3,66.7,2,2,100,0,0,0.0,3,0,3,1,0,1,0,1,6,-11,0
37,CHA,20191023,Miles Bridges,31.7,4,7,57.1,0,2,0.0,0,0,0.0,0,5,5,3,3,0,3,0,8,2,0
37,CHA,20191023,P.J. Washington,37.61666666666667,9,17,52.9,7,11,63.6,2,2,100,1,3,4,1,4,1,1,2,27,8,0
37,CHA,20191023,Cody Zeller,35.1,6,11,54.5,0,2,0.0,3,4,75.0,4,8,12,1,1,0,0,4,15,3,0
37,CHA,20191023,Dwayne Bacon,33.1,8,21,38.1,2,8,25.0,4,6,66.7,1,4,5,3,2,2,0,2,22,-3,0
37,CHA,20191023,Terry Rozier,30.416666666666668,2,10,20.0,2,6,33.3,1,1,100,1,3,4,6,4,0,0,1,7,-18,0
