date,team,player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,gameid,Result
20191022,NOP,Jrue Holiday,41.083333333333336,6.0,15.0,0.4,1.0,6.0,0.16699999999999998,0.0,2.0,0.0,2.0,2.0,4.0,6.0,0.0,2.0,5.0,2.0,13.0,-14.0,1,0
20191022,NOP,Brandon Ingram,35.1,8.0,19.0,0.42100000000000004,2.0,5.0,0.4,4.0,4.0,1.0,0.0,5.0,5.0,5.0,1.0,2.0,2.0,4.0,22.0,-19.0,1,0
20191022,NOP,J.J. Redick,27.05,6.0,9.0,0.667,4.0,6.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,16.0,-14.0,1,0
20191022,NOP,Lonzo Ball,24.833333333333332,2.0,7.0,0.28600000000000003,2.0,3.0,0.667,2.0,2.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,2.0,8.0,-7.0,1,0
20191022,NOP,Derrick Favors,20.766666666666666,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,1.0,1.0,5.0,6.0,-12.0,1,0
20191022,NOP,Josh Hart,28.166666666666668,4.0,9.0,0.444,3.0,5.0,0.6,4.0,4.0,1.0,4.0,6.0,10.0,1.0,0.0,1.0,1.0,4.0,15.0,-1.0,1,0
20191022,NOP,Nicolò Melli,19.616666666666667,5.0,7.0,0.7140000000000001,4.0,5.0,0.8,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,1.0,14.0,11.0,1,0
20191022,NOP,Kenrich Williams,18.033333333333335,0.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0,6.0,3.0,1.0,2.0,1.0,5.0,3.0,11.0,1,0
20191022,NOP,Frank Jackson,13.85,3.0,6.0,0.5,1.0,3.0,0.33299999999999996,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,7.0,1,0
20191022,NOP,Jahlil Okafor,12.483333333333333,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,8.0,-7.0,1,0
20191022,NOP,E'Twaun Moore,12.1,2.0,7.0,0.28600000000000003,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0
20191022,NOP,Nickeil Alexander-Walker,11.916666666666666,1.0,10.0,0.1,1.0,7.0,0.14300000000000002,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,3.0,6.0,1,0
20191022,TOR,Kyle Lowry,44.983333333333334,4.0,15.0,0.267,3.0,11.0,0.273,11.0,13.0,0.846,1.0,4.0,5.0,6.0,2.0,0.0,4.0,4.0,22.0,-1.0,1,0
20191022,TOR,Fred VanVleet,44.35,12.0,18.0,0.667,5.0,7.0,0.7140000000000001,5.0,6.0,0.833,0.0,5.0,5.0,7.0,2.0,0.0,2.0,0.0,34.0,18.0,1,0
20191022,TOR,Pascal Siakam,38.15,11.0,26.0,0.423,2.0,5.0,0.4,10.0,11.0,0.909,6.0,12.0,18.0,5.0,0.0,1.0,4.0,6.0,34.0,5.0,1,0
20191022,TOR,OG Anunoby,35.8,5.0,12.0,0.41700000000000004,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,7.0,0.0,0.0,2.0,1.0,3.0,11.0,12.0,1,0
20191022,TOR,Marc Gasol,31.916666666666668,2.0,9.0,0.222,1.0,4.0,0.25,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,6.0,-2.0,1,0
