GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
0,ORL,20141028,Tobias Harris,36.53333333333333,9,18,50.0,1,2,50.0,6,6,100,2,6,8,0,4,1,0,2,25,-4,0
0,ORL,20141028,Kyle O'Quinn,21.366666666666667,2,8,25.0,0,1,0.0,0,0,0.0,0,2,2,5,1,1,3,4,4,-15,0
0,ORL,20141028,Nikola Vucevic,35.05,7,15,46.7,0,0,0.0,1,2,50.0,5,18,23,1,1,1,4,2,15,-3,0
0,ORL,20141028,Evan Fournier,32.25,3,11,27.3,2,4,50.0,3,3,100,1,2,3,2,4,0,0,2,11,-13,0
0,ORL,20141028,Elfrid Payton,30.766666666666666,2,8,25.0,0,0,0.0,0,0,0.0,3,2,5,7,2,1,0,5,4,1,0
0,ORL,20141028,Aaron Gordon,28.45,5,8,62.5,1,2,50.0,0,0,0.0,2,1,3,0,3,1,1,3,11,-18,0
0,ORL,20141028,Ben Gordon,23.016666666666666,1,8,12.5,0,2,0.0,3,4,75.0,0,4,4,1,0,0,0,3,5,-15,0
0,ORL,20141028,Luke Ridnour,17.233333333333334,0,3,0.0,0,0,0.0,2,2,100,0,2,2,1,2,0,0,2,2,-18,0
0,ORL,20141028,Dewayne Dedmon,8.233333333333333,1,2,50.0,0,0,0.0,1,2,50.0,2,1,3,0,1,0,1,1,3,-1,0
0,ORL,20141028,Willie Green,4.116666666666666,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-3,0
0,ORL,20141028,Devyn Marble,2.9833333333333334,2,2,100,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,1,4,4,0
0,NOP,20141028,Tyreke Evans,34.666666666666664,5,15,33.3,0,1,0.0,2,5,40.0,2,7,9,6,0,0,0,0,12,10,0
0,NOP,20141028,Anthony Davis,36.333333333333336,10,22,45.5,0,0,0.0,6,9,66.7,9,8,17,2,0,3,9,1,26,19,0
0,NOP,20141028,Omer Asik,33.5,7,10,70.0,0,0,0.0,0,3,0.0,7,10,17,2,3,0,5,4,14,11,0
0,NOP,20141028,Eric Gordon,31.516666666666666,3,8,37.5,1,2,50.0,1,3,33.3,0,4,4,0,3,2,2,1,8,17,0
0,NOP,20141028,Jrue Holiday,27.033333333333335,4,11,36.4,0,3,0.0,0,0,0.0,0,2,2,4,2,3,1,2,8,9,0
0,NOP,20141028,Ryan Anderson,22.35,9,22,40.9,3,6,50.0,1,3,33.3,7,2,9,0,0,0,0,2,22,18,0
0,NOP,20141028,John Salmons,9.533333333333333,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,10,0
0,NOP,20141028,Jimmer Fredette,17.8,0,6,0.0,0,3,0.0,2,2,100,0,0,0,2,0,1,0,3,2,3,0
0,NOP,20141028,Austin Rivers,19.816666666666666,2,5,40.0,0,2,0.0,3,6,50.0,0,1,1,3,0,1,0,1,7,6,0
0,NOP,20141028,Jeff Withey,2.4833333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-6,0
0,NOP,20141028,Luke Babbitt,2.4833333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,0
0,NOP,20141028,Alexis Ajinca,2.4833333333333334,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,-6,0
1,DAL,20141028,Chandler Parsons,33.81666666666667,2,10,20.0,1,4,25.0,0,0,0.0,0,4,4,0,1,2,1,2,5,0,0
1,DAL,20141028,Dirk Nowitzki,31.666666666666668,7,11,63.6,0,1,0.0,4,4,100,2,4,6,2,1,1,0,4,18,-2,0
1,DAL,20141028,Tyson Chandler,27.75,4,8,50.0,0,0,0.0,0,0,0.0,3,7,10,0,1,2,0,5,8,-8,0
1,DAL,20141028,Monta Ellis,37.21666666666667,11,21,52.4,1,2,50.0,3,4,75.0,1,3,4,6,3,1,0,0,26,4,0
1,DAL,20141028,Jameer Nelson,30.466666666666665,3,7,42.9,3,5,60.0,0,0,0.0,0,0,0,3,0,1,1,1,9,3,0
1,DAL,20141028,Greg Smith,2.183333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0
1,DAL,20141028,Devin Harris,29.116666666666667,6,12,50.0,2,5,40.0,3,4,75.0,0,0,0,5,1,2,0,1,17,-2,0
1,DAL,20141028,Brandan Wright,18.066666666666666,2,2,100,0,0,0.0,2,2,100,1,4,5,0,0,0,1,2,6,6,0
1,DAL,20141028,Al-Farouq Aminu,5.483333333333333,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,0,1,0,0,1,0,0,0
1,DAL,20141028,Jae Crowder,10.866666666666667,2,2,100,0,0,0.0,1,1,100,0,0,0,0,1,0,0,1,5,-8,0
1,DAL,20141028,Richard Jefferson,13.366666666666667,1,3,33.3,1,2,50.0,3,4,75.0,1,1,2,1,1,0,0,2,6,1,0
1,SAS,20141028,Marco Belinelli,30.75,5,8,62.5,3,6,50.0,2,2,100,0,2,2,3,2,1,0,1,15,13,0
1,SAS,20141028,Tim Duncan,30.183333333333334,5,10,50.0,0,0,0.0,4,5,80.0,5,8,13,2,5,1,2,0,14,-2,0
1,SAS,20141028,Matt Bonner,14.533333333333333,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,3,0,6,0
1,SAS,20141028,Danny Green,34.03333333333333,5,9,55.6,3,6,50.0,0,0,0.0,2,2,4,1,3,1,0,4,13,-4,0
1,SAS,20141028,Tony Parker,34.833333333333336,9,15,60.0,4,4,100,1,2,50.0,1,2,3,3,1,0,0,2,23,-6,0
1,SAS,20141028,Manu Ginobili,27.683333333333334,6,13,46.2,2,6,33.3,6,7,85.7,0,2,2,6,3,2,0,4,20,-6,0
1,SAS,20141028,Boris Diaw,33.46666666666667,2,6,33.3,1,3,33.3,0,0,0.0,1,8,9,6,4,0,0,2,5,-5,0
1,SAS,20141028,Aron Baynes,17.816666666666666,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,0,2,0,1,3,4,3,0
1,SAS,20141028,Cory Joseph,16.7,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,1,7,6,0
2,HOU,20141028,Trevor Ariza,29.566666666666666,5,10,50.0,5,8,62.5,1,1,100,1,2,3,2,2,2,0,3,16,10,1
2,HOU,20141028,Terrence Jones,30.516666666666666,8,16,50.0,0,1,0.0,0,1,0.0,6,7,13,3,2,2,2,4,16,14,1
2,HOU,20141028,Dwight Howard,20.566666666666666,3,5,60.0,0,0,0.0,7,16,43.8,3,8,11,1,1,0,1,5,13,20,1
2,HOU,20141028,James Harden,30.766666666666666,7,17,41.2,3,6,50.0,15,16,93.8,0,1,1,6,0,1,0,1,32,12,1
2,HOU,20141028,Patrick Beverley,30.916666666666668,2,6,33.3,2,3,66.7,3,6,50.0,1,4,5,5,2,0,0,3,9,17,1
2,HOU,20141028,Tarik Black,24.216666666666665,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,4,2,4,1
2,HOU,20141028,Jason Terry,21.383333333333333,3,5,60.0,2,3,66.7,0,0,0.0,0,0,0,1,1,0,0,0,8,27,1
2,HOU,20141028,Donatas Motiejunas,16.366666666666667,0,0,0.0,0,0,0.0,4,6,66.7,2,3,5,0,2,0,0,3,4,-10,1
2,HOU,20141028,Kostas Papanikolaou,19.866666666666667,2,6,33.3,0,2,0.0,0,0,0.0,1,5,6,4,2,2,0,5,4,11,1
2,HOU,20141028,Troy Daniels,8.716666666666667,0,5,0.0,0,5,0.0,2,2,100,0,0,0,0,0,0,0,2,2,-7,1
2,HOU,20141028,Isaiah Canaan,7.116666666666666,0,1,0.0,0,1,0.0,2,2,100,0,1,1,0,1,0,0,0,2,-8,1
2,LAL,20141028,Wesley Johnson,22.866666666666667,3,7,42.9,1,3,33.3,0,0,0.0,0,2,2,0,0,0,0,5,7,-2,1
2,LAL,20141028,Carlos Boozer,27.583333333333332,7,13,53.8,0,0,0.0,3,3,100,3,4,7,2,0,1,0,1,17,-7,1
2,LAL,20141028,Jordan Hill,23.383333333333333,2,7,28.6,0,0,0.0,3,4,75.0,4,6,10,1,2,0,1,3,7,-6,1
2,LAL,20141028,Kobe Bryant,29.0,6,17,35.3,0,1,0.0,7,8,87.5,0,3,3,2,1,1,0,5,19,-11,1
2,LAL,20141028,Jeremy Lin,29.133333333333333,1,5,20.0,0,1,0.0,5,6,83.3,1,1,2,6,4,0,0,3,7,-17,1
2,LAL,20141028,Ronnie Price,26.933333333333334,1,7,14.3,1,3,33.3,4,4,100,0,1,1,3,2,2,0,3,7,-11,1
2,LAL,20141028,Jordan Clarkson,20.366666666666667,1,4,25.0,1,2,50.0,5,6,83.3,0,4,4,2,1,0,0,3,8,-4,1
2,LAL,20141028,Ed Davis,21.583333333333332,5,7,71.4,0,0,0.0,1,2,50.0,2,4,6,0,0,1,2,6,11,-16,1
2,LAL,20141028,Xavier Henry,18.466666666666665,0,4,0.0,0,0,0.0,3,4,75.0,1,0,1,0,0,1,0,1,3,-6,1
2,LAL,20141028,Julius Randle,13.566666666666666,1,3,33.3,0,0,0.0,0,2,0.0,0,0,0,0,1,0,0,1,2,-18,1
2,LAL,20141028,Robert Sacre,7.116666666666666,1,5,20.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,8,1
3,MIL,20141029,Khris Middleton,35.93333333333333,7,15,46.7,0,2,0.0,3,5,60.0,1,5,6,2,4,0,1,2,17,-6,0
3,MIL,20141029,Jabari Parker,36.88333333333333,3,9,33.3,0,0,0.0,2,2,100,0,4,4,1,0,1,0,1,8,-13,0
3,MIL,20141029,Larry Sanders,26.15,5,8,62.5,0,0,0.0,0,0,0.0,1,4,5,1,0,2,1,5,10,-7,0
3,MIL,20141029,Jared Dudley,26.166666666666668,1,1,100,1,1,100,0,0,0.0,0,2,2,2,1,2,1,1,3,-2,0
3,MIL,20141029,Brandon Knight,38.78333333333333,5,17,29.4,2,4,50.0,10,10,100,0,8,8,13,4,0,1,3,22,-12,0
3,MIL,20141029,Zaza Pachulia,14.466666666666667,2,5,40.0,0,0,0.0,0,0,0.0,0,1,1,0,3,2,1,1,4,-8,0
3,MIL,20141029,Giannis Antetokounmpo,24.0,3,6,50.0,1,1,100,3,3,100,0,5,5,1,0,0,1,1,10,4,0
3,MIL,20141029,O.J. Mayo,24.233333333333334,6,10,60.0,3,6,50.0,2,2,100,1,2,3,3,1,0,1,4,17,5,0
3,MIL,20141029,Ersan Ilyasova,11.766666666666667,3,3,100,0,0,0.0,0,0,0.0,0,1,1,0,0,2,1,5,6,10,0
3,MIL,20141029,John Henson,12.4,2,3,66.7,0,0,0.0,1,2,50.0,0,0,0,0,0,0,2,0,5,9,0
3,MIL,20141029,Jerryd Bayless,14.216666666666667,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,2,4,10,0
3,CHA,20141029,Michael Kidd-Gilchrist,33.7,6,8,75.0,0,0,0.0,5,6,83.3,3,5,8,3,1,0,3,4,17,1,0
3,CHA,20141029,Marvin Williams,33.18333333333333,8,12,66.7,3,6,50.0,0,0,0.0,2,2,4,3,2,1,0,0,19,3,0
3,CHA,20141029,Al Jefferson,40.483333333333334,6,15,40.0,0,0,0.0,2,3,66.7,2,8,10,2,2,2,4,4,14,5,0
3,CHA,20141029,Lance Stephenson,39.916666666666664,3,12,25.0,0,2,0.0,1,2,50.0,3,10,13,8,2,0,0,4,7,9,0
3,CHA,20141029,Kemba Walker,38.983333333333334,9,26,34.6,3,9,33.3,5,11,45.5,2,4,6,5,0,1,1,1,26,12,0
