home,away,date,prediction
OKC,WAS,08/09/2020,1.0089718103408813
TOR,MEM,08/09/2020,0.3489763140678406
NOP,SAS,08/09/2020,-0.025780724361538887
BOS,ORL,08/09/2020,0.38255226612091064
POR,PHI,08/09/2020,0.33740928769111633
SAC,HOU,08/09/2020,0.1740071177482605
LAC,BKN,08/09/2020,0.8391115665435791
PHX,OKC,08/10/2020,0.5227109789848328
UTA,DAL,08/10/2020,0.5626307129859924
MIL,TOR,08/10/2020,0.8414462208747864
MIA,IND,08/10/2020,0.611461877822876
LAL,DEN,08/10/2020,-0.16560475528240204
ORL,BKN,08/11/2020,-0.21179600059986115
SAS,HOU,08/11/2020,0.9198362231254578
PHI,PHX,08/11/2020,0.20084084570407867
MEM,BOS,08/11/2020,0.747317373752594
DAL,POR,08/11/2020,0.006777619943022728
SAC,NOP,08/11/2020,0.3103555142879486
WAS,MIL,08/11/2020,1.4004114866256714
HOU,IND,08/12/2020,0.12781445682048798
PHI,TOR,08/12/2020,0.6606393456459045
OKC,MIA,08/12/2020,0.2575934827327728
DEN,LAC,08/12/2020,-0.18450109660625458
