home,away,date,plac_H,plac_A
BOS,ORL,08/03/2020,1.28,4.42
POR,PHI,08/03/2020,1.73,2.38
LAC,BKN,08/03/2020,1.23,4.87
SAC,HOU,08/03/2020,3.05,1.48
MIL,TOR,08/10/2020,1.49,3.01
PHX,OKC,08/10/2020,1.5,2.97
UTA,DAL,08/10/2020,1.42,3.37
LAL,DEN,08/10/2020,1.5,2.97
MIA,IND,08/10/2020,1.71,2.42
ORL,BKN,08/11/2020,1.45,2.55
SAS,HOU,08/11/2020,1.48,2.96
DAL,POR,08/11/2020,2.45,1.7
MEM,BOS,08/11/2020,2.47,1.69
PHI,PHX,08/11/2020,4.57,1.26
SAC,NOP,08/11/2020,1.72,2.4
WAS,MIL,08/11/2020,3.56,1.39
HOU,IND,08/12/2020,1.42,3.37
PHI,TOR,08/12/2020,3.25,1.44
BOS,PHI,08/17/2020,1.48,3.05
DEN,UTA,08/17/2020,1.56,2.8
TOR,BKN,08/17/2020,1.22,4.92
LAC,DAL,08/17/2020,1.45,3.19
