MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,MIN_home,FGM_home,FGA_home,FG%_home,3PM_home,3PA_home,3P%_home,FTM_home,FTA_home,FT%_home,OREB_home,DREB_home,REB_home,AST_home,TOV_home,STL_home,BLK_home,PF_home,PTS_home,+/-_home,Result
133.75166666666667,20.5,55.8,121.23,4.5,14.1,119.36,9.5,10.8,227.98000000000002,6.2,18.8,25.0,9.6,11.4,2.4,4.0,8.6,55.0,-39.9,155.87,30.8,63.1,237.64,9.3,22.5,145.70000000000002,14.1,18.7,286.19,8.0,23.9,31.900000000000002,19.3,10.0,4.4,3.0000000000000004,10.799999999999999,85.0,33.3,0.0
163.97833333333332,28.9,60.3,225.67000000000002,6.6,19.6,126.68,9.4,12.2,288.95,5.1000000000000005,19.0,24.1,12.9,6.8,4.4,3.5999999999999996,11.0,73.8,11.600000000000001,148.27833333333334,27.0,59.0,233.91000000000003,8.2,20.4,154.64999999999998,15.2,18.4,343.90999999999997,6.8,18.8,25.6,17.6,9.600000000000001,6.0,3.6999999999999997,11.100000000000001,77.4,25.299999999999997,0.0
137.02,22.6,48.1,219.07,2.3,6.0,89.79,12.5,15.400000000000002,245.93,5.0,23.0,27.999999999999996,13.100000000000001,7.1,5.1000000000000005,3.0,10.1,60.0,7.299999999999999,163.92666666666668,35.5,67.6,309.78000000000003,11.0,26.599999999999998,158.11,11.9,14.099999999999998,297.4,4.0,27.2,31.2,22.1,11.899999999999999,6.6,4.8999999999999995,11.100000000000001,93.89999999999999,12.200000000000001,1.0
143.445,22.6,54.7,201.9,3.3,10.7,91.96000000000001,8.9,13.1,213.26,7.4,21.3,28.700000000000003,13.2,6.3,2.8,3.9,12.0,57.400000000000006,20.900000000000002,155.86,31.499999999999996,67.8,230.92,4.8,12.9,133.34,8.700000000000001,11.6,252.52,7.200000000000001,21.8,29.0,15.8,6.9,4.1,2.8,12.0,76.5,-12.500000000000004,1.0
158.25333333333333,25.800000000000004,58.599999999999994,229.81,9.0,24.4,146.37000000000003,8.2,11.5,219.36,6.2,20.0,26.2,14.100000000000001,8.0,3.3,1.7,13.4,68.8,-22.0,152.44333333333333,25.0,58.7,207.5,4.0,13.3,159.29000000000002,18.0,22.3,265.6,2.8,19.9,22.7,20.8,11.100000000000001,8.0,1.9000000000000001,16.9,72.0,5.100000000000001,0.0
129.73999999999998,24.6,51.9,248.8,4.4,12.6,91.55,11.0,13.7,276.59000000000003,5.3,17.4,22.700000000000003,13.6,7.7,4.9,2.6,6.8,64.6,-5.4,141.17166666666668,24.799999999999997,54.0,250.05,6.199999999999999,19.8,135.8,12.600000000000001,16.2,240.23999999999995,5.7,17.7,23.400000000000002,15.9,8.600000000000001,4.7,6.199999999999999,12.3,68.39999999999999,10.200000000000001,0.0
171.43,25.8,59.39999999999999,210.57,4.8,16.8,117.25,9.600000000000001,15.299999999999999,242.03000000000003,8.4,23.299999999999997,31.700000000000003,14.8,5.799999999999999,5.0,2.8,8.7,66.0,-8.9,140.21,23.2,52.1,275.04999999999995,4.9,13.0,116.41000000000001,11.7,15.4,219.23000000000002,6.6000000000000005,23.3,29.900000000000002,11.8,5.9,5.1,3.0,10.9,63.0,31.5,0.0
152.29166666666669,26.6,54.7,252.03999999999996,6.7,18.200000000000003,113.42,14.200000000000001,16.8,394.37,8.5,23.1,31.599999999999998,16.8,7.9,3.4000000000000004,7.5,10.1,74.10000000000001,45.5,147.895,25.5,57.0,229.54000000000002,2.4000000000000004,12.0,90.8,7.7,11.2,155.93000000000004,4.800000000000001,19.9,24.7,12.7,9.2,2.5999999999999996,2.3,9.8,61.1,-32.1,1.0
153.28833333333336,25.900000000000002,56.0,212.86,5.0,13.1,150.06,13.4,16.700000000000003,308.46,5.7,21.1,26.8,16.700000000000003,10.4,6.800000000000001,3.5,11.3,70.2,-6.300000000000001,129.43666666666667,19.1,44.6,177.65,1.9000000000000001,9.1,65.83,11.2,16.5,258.24,5.8,12.6,18.4,16.1,7.9,4.7,2.7,9.3,51.3,14.5,0.0
146.88166666666666,23.700000000000003,56.4,207.9,5.1,16.5,107.30000000000001,16.1,21.1,297.72999999999996,6.5,22.3,28.8,15.4,9.299999999999999,4.9,4.1,11.6,68.6,-14.0,138.145,19.7,50.2,164.79999999999998,3.6999999999999997,12.600000000000001,105.52,11.700000000000001,15.4,267.66,4.3,18.599999999999998,22.900000000000002,16.3,9.0,5.7,2.3000000000000003,14.8,54.800000000000004,-9.099999999999998,1.0
