GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
0,PHI,20181016,Dario Saric,22.9,3,8,37.5,0,4,0.0,0,0,0.0,0,6,6,1,3,0,0,5,6,-4,0
0,PHI,20181016,Robert Covington,34.21666666666667,3,10,30.0,2,7,28.6,0,0,0.0,1,5,6,0,2,2,1,1,8,-11,0
0,PHI,20181016,Joel Embiid,36.81666666666667,9,21,42.9,1,4,25.0,4,5,80.0,2,8,10,2,5,1,2,3,23,-8,0
0,PHI,20181016,Markelle Fultz,24.333333333333332,2,7,28.6,0,0,0.0,1,2,50.0,0,3,3,2,3,1,0,1,5,-16,0
0,PHI,20181016,Ben Simmons,42.733333333333334,7,14,50.0,0,0,0.0,5,10,50.0,3,12,15,8,3,4,2,5,19,-8,0
0,PHI,20181016,Amir Johnson,11.183333333333334,1,1,100,0,0,0.0,3,4,75.0,0,3,3,1,0,0,0,1,5,-10,0
0,PHI,20181016,JJ Redick,29.766666666666666,7,17,41.2,2,8,25.0,0,0,0.0,0,2,2,1,0,0,0,1,16,-10,0
0,PHI,20181016,T.J. McConnell,22.433333333333334,2,5,40.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,3,4,-11,0
0,PHI,20181016,Landry Shamet,12.716666666666667,0,4,0.0,0,2,0.0,1,2,50.0,0,1,1,0,0,0,0,0,1,-8,0
0,PHI,20181016,Jonah Bolden,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,0
0,PHI,20181016,Furkan Korkmaz,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,0
0,BOS,20181016,Jayson Tatum,28.933333333333334,9,17,52.9,1,5,20.0,4,5,80.0,2,7,9,3,1,1,0,2,23,6,0
0,BOS,20181016,Gordon Hayward,24.616666666666667,4,12,33.3,1,3,33.3,1,2,50.0,2,3,5,0,0,4,0,1,10,10,0
0,BOS,20181016,Al Horford,29.95,4,7,57.1,0,1,0.0,1,1,100,0,4,4,2,3,0,4,1,9,9,0
0,BOS,20181016,Jaylen Brown,28.383333333333333,5,13,38.5,1,3,33.3,1,2,50.0,3,2,5,2,2,0,0,4,12,11,0
0,BOS,20181016,Kyrie Irving,29.0,2,14,14.3,1,8,12.5,2,2,100,0,4,4,7,3,0,0,1,7,9,0
0,BOS,20181016,Marcus Morris Sr.,20.5,7,12,58.3,2,7,28.6,0,0,0.0,2,8,10,0,1,2,0,5,16,3,0
0,BOS,20181016,Terry Rozier,26.516666666666666,5,10,50.0,1,2,50.0,0,0,0.0,0,8,8,1,1,0,1,0,11,22,0
0,BOS,20181016,Marcus Smart,25.0,2,4,50.0,2,4,50.0,1,2,50.0,0,3,3,3,2,0,0,2,7,3,0
0,BOS,20181016,Aron Baynes,19.233333333333334,3,7,42.9,2,4,50.0,0,0,0.0,3,1,4,3,1,0,0,3,8,8,0
0,BOS,20181016,Daniel Theis,4.133333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,3,0
0,BOS,20181016,Semi Ojeleye,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0
0,BOS,20181016,Guerschon Yabusele,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0
0,BOS,20181016,Brad Wanamaker,0.8333333333333334,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2,0
1,OKC,20181016,Paul George,37.4,9,23,39.1,4,12,33.3,5,8,62.5,0,2,2,5,5,4,0,3,27,-16,0
1,OKC,20181016,Patrick Patterson,18.9,2,9,22.2,1,4,25.0,2,3,66.7,3,2,5,0,1,1,1,0,7,3,0
1,OKC,20181016,Steven Adams,35.6,6,12,50.0,0,0,0.0,5,8,62.5,4,7,11,4,2,2,0,3,17,-6,0
1,OKC,20181016,Terrance Ferguson,26.5,0,2,0.0,0,2,0.0,0,0,0.0,2,2,4,1,1,0,0,3,0,0,0
1,OKC,20181016,Dennis Schroder,34.083333333333336,7,19,36.8,2,6,33.3,5,6,83.3,2,6,8,6,3,3,1,4,21,-7,0
1,OKC,20181016,Jerami Grant,29.1,2,7,28.6,1,4,25.0,2,4,50.0,2,0,2,2,0,0,3,1,7,-11,0
1,OKC,20181016,Alex Abrines,23.483333333333334,3,8,37.5,2,6,33.3,0,0,0.0,0,2,2,0,0,0,0,2,8,-5,0
1,OKC,20181016,Raymond Felton,13.916666666666666,1,5,20.0,0,3,0.0,4,5,80.0,0,3,3,1,2,0,0,0,6,-1,0
1,OKC,20181016,Nerlens Noel,12.4,1,2,50.0,0,0,0.0,1,2,50.0,3,4,7,1,0,1,1,3,3,-2,0
1,OKC,20181016,Hamidou Diallo,8.616666666666667,2,4,50.0,0,0,0.0,0,1,0.0,0,1,1,1,0,1,0,2,4,5,0
1,GSW,20181016,Kevin Durant,37.71666666666667,9,21,42.9,0,5,0.0,9,10,90.0,1,7,8,6,3,1,1,4,27,14,0
1,GSW,20181016,Draymond Green,32.75,1,6,16.7,0,1,0.0,0,0,0.0,1,12,13,5,6,3,0,3,2,2,0
1,GSW,20181016,Damian Jones,26.55,6,7,85.7,0,0,0.0,0,0,0.0,2,1,3,2,2,0,3,4,12,-1,0
1,GSW,20181016,Klay Thompson,34.983333333333334,5,20,25.0,1,8,12.5,3,3,100,1,3,4,0,2,0,0,3,14,2,0
1,GSW,20181016,Stephen Curry,36.61666666666667,11,20,55.0,5,9,55.6,5,5,100,0,8,8,9,3,1,0,4,32,15,0
1,GSW,20181016,Kevon Looney,18.066666666666666,5,11,45.5,0,0,0.0,0,0,0.0,8,2,10,2,1,1,2,4,10,23,0
1,GSW,20181016,Andre Iguodala,10.383333333333333,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,2,2,0
1,GSW,20181016,Quinn Cook,13.2,1,2,50.0,1,1,100,0,0,0.0,1,1,2,1,2,0,0,2,3,-7,0
1,GSW,20181016,Shaun Livingston,14.566666666666666,3,5,60.0,0,0,0.0,0,0,0.0,2,1,3,1,1,1,0,2,6,-3,0
1,GSW,20181016,Jordan Bell,6.65,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,-6,0
1,GSW,20181016,Alfonzo McKinnie,2.35,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,0
1,GSW,20181016,Jonas Jerebko,6.166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,2,0,0,0
2,MIL,20181017,Khris Middleton,32.766666666666666,7,14,50.0,3,6,50.0,2,2,100,1,8,9,4,2,2,1,3,19,2,1
